landscape,ignitionPoint,ignitionIndex,burnedOutCells
0,0,21360,1
0,1,25948,53
0,2,28029,1
0,3,36447,1092
0,4,3515,1
0,5,1053,1
0,6,14491,5
0,7,29761,10
0,8,18719,302
0,9,12854,1
0,10,21077,2
0,11,32677,5
0,12,27473,2
0,13,4262,116
0,14,11095,8
0,15,28844,9
0,16,30084,12
0,17,7875,6
0,18,37241,1118
0,19,27320,176
0,20,19143,4
0,21,24888,12
0,22,4524,8
0,23,21947,1
0,24,24652,2
0,25,31260,9
0,26,23503,960
0,27,17882,1061
0,28,34692,81
0,29,10223,12
0,30,19745,1
0,31,5245,16
0,32,32037,2
0,33,22387,11
0,34,11602,79
0,35,15862,0
0,36,18125,1414
0,37,15653,1
0,38,37938,30
0,39,2635,1
0,40,960,2
0,41,12375,2937
0,42,4555,7
0,43,5730,0
0,44,21198,11
0,45,3691,5
0,46,32074,3
0,47,19336,30
0,48,12112,26
0,49,22062,2
0,50,23319,29
0,51,30877,21
0,52,38416,1115
0,53,29646,9
0,54,27207,24
0,55,11616,41
0,56,33608,1
0,57,39737,43
0,58,15143,196
0,59,9747,2
0,60,32387,2
0,61,788,20
0,62,10105,1
0,63,5258,36
0,64,37408,3
0,65,26517,3
0,66,3451,8
0,67,21718,644
0,68,34358,32
0,69,21118,1003
0,70,32738,6
0,71,8072,0
0,72,21457,1
0,73,18551,4
0,74,26726,1
0,75,12580,4162
0,76,22297,306
0,77,38662,1273
0,78,14135,75
0,79,5220,940
0,80,21267,7
0,81,33773,1
0,82,15117,894
0,83,21669,2
0,84,27905,1
0,85,37152,39
0,86,13789,2125
0,87,243,551
0,88,28901,4
0,89,6241,186
0,90,37223,1301
0,91,22380,26
0,92,13668,5
0,93,3514,12
0,94,7916,1
0,95,723,3
0,96,21957,33
0,97,11222,46
0,98,4605,1478
0,99,32371,1
11,0,34738,1
11,1,14668,1
11,2,1111,4034
11,3,17155,1
11,4,39633,1
11,5,25307,1
11,6,7740,1
11,7,36733,1
11,8,36593,1
11,9,35107,5189
11,10,36814,1
11,11,36894,5600
11,12,2787,0
11,13,24209,1
11,14,32362,1
11,15,26518,1
11,16,14994,1
11,17,9691,3496
11,18,36728,1
11,19,34106,1
11,20,39125,1
11,21,38405,1
11,22,34381,1
11,23,9308,3014
11,24,27157,41
11,25,8448,1
11,26,25121,1
11,27,11894,10
11,28,24854,1
11,29,6829,1
11,30,37608,1
11,31,8511,1
11,32,38436,1
11,33,38015,68
11,34,20879,1
11,35,1568,1
11,36,10074,1
11,37,7229,1
11,38,33492,5960
11,39,4032,1
11,40,7442,1
11,41,26023,1
11,42,19714,1
11,43,12667,1
11,44,31396,1
11,45,22000,237
11,46,20744,1
11,47,7794,1
11,48,28829,1
11,49,34538,1
11,50,18485,1
11,51,14716,1
11,52,15230,1
11,53,15104,1
11,54,1811,1
11,55,25019,1
11,56,20909,1
11,57,38236,1
11,58,8669,1
11,59,13705,3854
11,60,18173,1
11,61,31977,1
11,62,22365,1
11,63,27472,7264
11,64,5973,1
